2026-06-09 14:24:04,878 | INFO | Extracting MSFT...
2026-06-09 14:24:05,129 | INFO | MSFT: 500 rows extracted
2026-06-09 14:24:05,130 | INFO | Extracting AMZN...
2026-06-09 14:24:05,203 | INFO | AMZN: 500 rows extracted
2026-06-09 14:24:05,204 | INFO | Extracting NVDA...
2026-06-09 14:24:05,300 | INFO | NVDA: 500 rows extracted
2026-06-09 14:24:05,302 | INFO | Extraction complete: 3000 rows, 6 tickers
2026-06-09 14:24:05,302 | INFO | Starting transform...
2026-06-09 14:24:05,344 | INFO | Data validation passed
2026-06-09 14:24:05,351 | INFO | AAPL:indicators added
2026-06-09 14:24:05,357 | INFO | GOOGL:indicators added
2026-06-09 14:24:05,365 | INFO | META:indicators added
2026-06-09 14:24:05,372 | INFO | MSFT:indicators added
2026-06-09 14:24:05,381 | INFO | AMZN:indicators added
2026-06-09 14:24:05,388 | INFO | NVDA:indicators added
2026-06-09 14:24:05,391 | INFO | Dropped 187 rows with NaN
2026-06-09 14:24:05,391 | INFO | Transform complete: 2813 rows, 18 columns
2026-06-09 14:24:05,413 | INFO | AAPL: first load, inserting 470 rows
2026-06-09 14:24:05,453 | INFO | GOOGL: first load, inserting 470 rows
2026-06-09 14:24:05,478 | INFO | META: first load, inserting 463 rows
2026-06-09 14:24:05,501 | INFO | MSFT: first load, inserting 470 rows
2026-06-09 14:24:05,527 | INFO | AMZN: first load, inserting 470 rows
2026-06-09 14:24:05,548 | INFO | NVDA: first load, inserting 470 rows
2026-06-09 14:24:05,562 | INFO | Load complete: 2813 new rows inserted
2026-06-14 11:10:16,432 | INFO | Pipeline started
2026-06-14 11:10:16,432 | INFO | Starting Extract...
2026-06-14 11:10:16,433 | INFO | Extracting AAPL...
2026-06-14 11:10:20,222 | INFO | AAPL: 501 rows extracted
2026-06-14 11:10:20,223 | INFO | Extracting GOOGL...
2026-06-14 11:10:20,300 | INFO | GOOGL: 501 rows extracted
2026-06-14 11:10:20,300 | INFO | Extracting META...
2026-06-14 11:10:20,380 | INFO | META: 501 rows extracted
2026-06-14 11:10:20,381 | INFO | Extracting MSFT...
2026-06-14 11:10:20,490 | INFO | MSFT: 501 rows extracted
2026-06-14 11:10:20,490 | INFO | Extracting AMZN...
2026-06-14 11:10:20,556 | INFO | AMZN: 501 rows extracted
2026-06-14 11:10:20,557 | INFO | Extracting NVDA...
2026-06-14 11:10:20,647 | INFO | NVDA: 501 rows extracted
2026-06-14 11:10:20,648 | INFO | Extraction complete: 3006 rows, 6 tickers
2026-06-14 11:10:20,649 | INFO | Extracted 3006 rows
2026-06-14 11:10:20,649 | INFO | Starting Transform...
2026-06-14 11:10:20,649 | INFO | Starting transform...
2026-06-14 11:10:20,706 | INFO | Data validation passed
2026-06-14 11:10:20,722 | INFO | AAPL:indicators added
2026-06-14 11:10:20,729 | INFO | GOOGL:indicators added
2026-06-14 11:10:20,738 | INFO | META:indicators added
2026-06-14 11:10:20,746 | INFO | MSFT:indicators added
2026-06-14 11:10:20,754 | INFO | AMZN:indicators added
2026-06-14 11:10:20,763 | INFO | NVDA:indicators added
2026-06-14 11:10:20,768 | INFO | Dropped 187 rows with NaN
2026-06-14 11:10:20,768 | INFO | Transform complete: 2819 rows, 18 columns
2026-06-14 11:10:20,768 | INFO | Transformed 2819 rows
2026-06-14 11:10:20,768 | INFO | Starting Load...
2026-06-14 11:10:20,803 | INFO | AAPL: latest in DB = 2026-06-08 00:00:00.000000, new rows = 4
2026-06-14 11:10:20,822 | INFO | GOOGL: latest in DB = 2026-06-08 00:00:00.000000, new rows = 4
2026-06-14 11:10:20,836 | INFO | META: latest in DB = 2026-06-08 00:00:00.000000, new rows = 4
2026-06-14 11:10:20,850 | INFO | MSFT: latest in DB = 2026-06-08 00:00:00.000000, new rows = 4
2026-06-14 11:10:20,866 | INFO | AMZN: latest in DB = 2026-06-08 00:00:00.000000, new rows = 4
2026-06-14 11:10:20,880 | INFO | NVDA: latest in DB = 2026-06-08 00:00:00.000000, new rows = 4
2026-06-14 11:10:20,889 | INFO | Load complete: 24 new rows inserted
2026-06-14 11:10:20,889 | INFO | Load complete
2026-06-14 11:10:20,890 | INFO | Pipeline complete!
